กำแพงเพชร ,โรงงานซ่อมรถยนต์ ,5050 ,
ขอนแก่น ,ประเภทบ้านเดี่ยว ,6850 ,
ขอนแก่น ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,7100 ,
ขอนแก่น ,ประเภทห้องแถว ,6700 ,
ขอนแก่น ,ประเภทตึกแถว ,7400 ,
ขอนแก่น ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5350 ,
ขอนแก่น ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3350 ,
ขอนแก่น ,สถานศึกษา ,7250 ,
ขอนแก่น ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9300 ,
ขอนแก่น ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9900 ,
ขอนแก่น ,โรงมหรสพ ,7950 ,
ขอนแก่น ,สถานพยาบาล ,9250 ,
ขอนแก่น ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7200 ,
ขอนแก่น ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8500 ,
ขอนแก่น ,ภัตตาคาร  ,6650 ,
ขอนแก่น ,ห้างสรรพสินค้า ,9150 ,
ขอนแก่น ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7800 ,
ขอนแก่น ,สถานีบริการน้ำมันเชื้อเพลิง ,5400 , พื้นที่อาคารและบริเวณหัวจ่าย
ขอนแก่น ,โรงงาน ,6050 ,
ขอนแก่น ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3550 , พื้นที่ของแต่ละอาคาร
ขอนแก่น ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3800 , พื้นที่ของแต่ละอาคาร
ขอนแก่น ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,8800 ,
ขอนแก่น ,โรงงานซ่อมรถยนต์ ,5650 ,
จันทบุรี ,ประเภทบ้านเดี่ยว ,7350 ,
จันทบุรี ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,7300 ,
จันทบุรี ,ประเภทห้องแถว ,7050 ,
จันทบุรี ,ประเภทตึกแถว ,7700 ,
จันทบุรี ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5500 ,
จันทบุรี ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3400 ,
จันทบุรี ,สถานศึกษา ,7600 ,
จันทบุรี ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9400 ,
จันทบุรี ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9950 ,
จันทบุรี ,โรงมหรสพ ,7950 ,
จันทบุรี ,สถานพยาบาล ,9400 ,
จันทบุรี ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7550 ,
จันทบุรี ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8450 ,
จันทบุรี ,ภัตตาคาร  ,6550 ,
จันทบุรี ,ห้างสรรพสินค้า ,9150 ,
จันทบุรี ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7950 ,
จันทบุรี ,สถานีบริการน้ำมันเชื้อเพลิง ,5400 , พื้นที่อาคารและบริเวณหัวจ่าย
จันทบุรี ,โรงงาน ,6150 ,
จันทบุรี ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3550 , พื้นที่ของแต่ละอาคาร
จันทบุรี ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3800 , พื้นที่ของแต่ละอาคาร
จันทบุรี ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,8950 ,
จันทบุรี ,โรงงานซ่อมรถยนต์ ,5600 ,
ฉะเชิงเทรา ,ประเภทบ้านเดี่ยว ,6800 ,
ฉะเชิงเทรา ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,7100 ,
ฉะเชิงเทรา ,ประเภทห้องแถว ,6750 ,
ฉะเชิงเทรา ,ประเภทตึกแถว ,7350 ,
ฉะเชิงเทรา ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5650 ,
ฉะเชิงเทรา ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3550 ,
ฉะเชิงเทรา ,สถานศึกษา ,7300 ,
ฉะเชิงเทรา ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9350 ,
ฉะเชิงเทรา ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,10000 ,
ฉะเชิงเทรา ,โรงมหรสพ ,8000 ,
ฉะเชิงเทรา ,สถานพยาบาล ,9150 ,
ฉะเชิงเทรา ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7300 ,
ฉะเชิงเทรา ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9200 ,
ฉะเชิงเทรา ,ภัตตาคาร  ,6750 ,
ฉะเชิงเทรา ,ห้างสรรพสินค้า ,9450 ,
ฉะเชิงเทรา ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7900 ,
ฉะเชิงเทรา ,สถานีบริการน้ำมันเชื้อเพลิง ,5700 , พื้นที่อาคารและบริเวณหัวจ่าย
ฉะเชิงเทรา ,โรงงาน ,6300 ,
ฉะเชิงเทรา ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3700 , พื้นที่ของแต่ละอาคาร
ฉะเชิงเทรา ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3800 , พื้นที่ของแต่ละอาคาร
ฉะเชิงเทรา ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,8750 ,
ฉะเชิงเทรา ,โรงงานซ่อมรถยนต์ ,5650 ,
ชลบุรี ,ประเภทบ้านเดี่ยว ,7250 ,
ชลบุรี ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,7100 ,
ชลบุรี ,ประเภทห้องแถว ,6800 ,
ชลบุรี ,ประเภทตึกแถว ,7500 ,
ชลบุรี ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5450 ,
ชลบุรี ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3350 ,
